Ano da pesquisa;População(pessoas);Município;Sigla UF;Código do Município
1970;78914;Diadema ;SP;3513801
1980;228663;Diadema ;SP;3513801
1991;305287;Diadema ;SP;3513801
2000;357064;Diadema ;SP;3513801
2010;386089;Diadema ;SP;3513801
2022;393237;Diadema ;SP;3513801
